@relation finishedData-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.unsupervised.attribute.NumericToNominal-R1-2-weka.filters.unsupervised.attribute.NumericToBinary-R14-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.NumericToNominal-R15-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute Year {2010,2011,2012,2013,2014,2015,2016,2017,2018}
@attribute Month {3,6,9,12}
@attribute City {Wellington,Auckland,Otago}
@attribute 'Region Average.Rent' numeric
@attribute Number.of.Bonds {1837,2002,2036,2062,2075,2095,2159,2215,2254,2300,2337,2381,2382,2412,2414,2417,2465,2562,2569,2680,2751,2827,2839,2858,2876,2921,3030,3126,3204,3301,3432,3489,3985,4074,4087,4102,4190,4283,4324,4340,4429,4514,4672,4770,4803,4882,5005,5016,5019,5107,5121,5309,5359,5455,5673,5902,6151,6456,6552,6627,6719,6846,6868,6893,7280,11341,12176,12244,12456,13092,13132,13252,13898,14105,14181,14211,14316,14358,14658,14724,14837,14875,14881,14892,14999,15249,15307,15449,15491,15538,15543,15547,15697,16329,16508,16608,18322,18489}
@attribute Number.of.Students..Bachelors.only. {'15,800','26,580','16,420','26,630','15,645','16,240','26,835','15,400','16,165','15,335','26,905','16,060','15,145','26,800','16,150','15,260','26,640','15,700','15,380','25,935','15,830','15,510','25,800','15,715','15,434','16,035','16,305'}
@attribute Student..Allowance.average {$170.68,$173.41,$175.38,$173.29,$175.88,$173.82,$178.94,$183.06,$230.12}
@attribute Student.Accomodation..Benefit.Average {$35.03,35.47,35.91,35.18,35.71,38.06,39.35,60}
@attribute Property_Type {House,'Room or Boarding House','Flat or Apartment',Hostel}
@attribute Number.of.Bedrooms {1,2,3,4,5}
@attribute Property.Average.Rent numeric
@attribute Bonds {5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,56,57,58,59,60,61,62,63,64,66,67,68,69,71,73,75,76,77,78,80,83,84,85,86,87,88,89,90,91,94,95,96,99,100,101,103,106,109,110,111,113,115,116,121,122,123,124,127,129,135,136,137,138,141,142,143,144,146,148,149,152,153,154,157,158,160,161,166,167,168,169,170,171,172,181,184,190,192,195,196,197,203,205,208,209,217,218,225,230,233,234,237,252,255,258,263,271,276,295,301,308,310,314,316,325,326,331,332,334,336,338,342,358,374,376,379,381,390,399,401,402,405,412,436,438,441,445,453,454,461,462,469,483,490,491,498,501,520,524,525,534,536,543,545,562,563,568,578,580,588,608,630,644,648,654,655,678,680,694,704,759,769,777,790,877,917}
@attribute 'Student/Bond Ratio' numeric
@attribute 'Above National Average (City)_binarized' {0,1}
@attribute Class {0,1}

@data
2011,9,Wellington,383,6893,'15,645',$173.41,35.47,'Flat or Apartment',5,456,12,0.001741,1,0
2011,9,Otago,300,3126,'16,240',$173.41,35.47,'Flat or Apartment',4,466,21,0.006718,0,0
2011,9,Wellington,383,6893,'15,645',$173.41,35.47,House,2,474,19,0.002756,1,0
2011,9,Auckland,405,14658,'26,630',$173.41,35.47,House,4,548,14,0.000955,1,0
2011,9,Auckland,405,14658,'26,630',$173.41,35.47,'Flat or Apartment',4,555,6,0.000409,1,0
2011,9,Auckland,405,14658,'26,630',$173.41,35.47,'Flat or Apartment',3,565,37,0.002524,1,0
2011,9,Otago,300,3126,'16,240',$173.41,35.47,House,5,641,28,0.008957,0,0
2011,9,Auckland,405,14658,'26,630',$173.41,35.47,'Flat or Apartment',5,660,11,0.00075,1,0
2011,9,Otago,300,3126,'16,240',$173.41,35.47,'Flat or Apartment',5,671,18,0.005758,0,0
2011,9,Auckland,405,14658,'26,630',$173.41,35.47,House,5,756,5,0.000341,1,0
2011,12,Auckland,421,11341,'26,630',$173.41,35.47,'Room or Boarding House',1,136,61,0.005379,1,1
2011,12,Wellington,363,4102,'15,645',$173.41,35.47,House,2,147,8,0.00195,1,1
2011,12,Wellington,363,4102,'15,645',$173.41,35.47,House,1,166,39,0.009508,1,1
2011,12,Wellington,363,4102,'15,645',$173.41,35.47,House,3,171,7,0.001706,1,1
2011,12,Wellington,363,4102,'15,645',$173.41,35.47,'Room or Boarding House',1,185,61,0.014871,1,1
2011,12,Wellington,363,4102,'15,645',$173.41,35.47,House,4,229,9,0.002194,1,1
2011,12,Otago,325,2300,'16,240',$173.41,35.47,'Room or Boarding House',1,241,103,0.044783,0,1
2011,12,Otago,325,2300,'16,240',$173.41,35.47,House,1,246,33,0.014348,0,1
2011,12,Otago,325,2300,'16,240',$173.41,35.47,'Flat or Apartment',1,254,8,0.003478,0,0
2011,12,Otago,325,2300,'16,240',$173.41,35.47,House,3,270,5,0.002174,0,0
2011,12,Auckland,421,11341,'26,630',$173.41,35.47,House,1,279,116,0.010228,1,1
2011,12,Otago,325,2300,'16,240',$173.41,35.47,House,2,292,7,0.003043,0,1
2011,12,Otago,325,2300,'16,240',$173.41,35.47,'Flat or Apartment',2,296,11,0.004783,0,1
2011,12,Wellington,363,4102,'15,645',$173.41,35.47,'Flat or Apartment',1,302,152,0.037055,1,1
2011,12,Auckland,421,11341,'26,630',$173.41,35.47,'Flat or Apartment',1,337,491,0.043294,1,1
2011,12,Auckland,421,11341,'26,630',$173.41,35.47,House,2,353,71,0.00626,1,1
2011,12,Wellington,363,4102,'15,645',$173.41,35.47,'Flat or Apartment',3,358,30,0.007314,1,0
2011,12,Auckland,421,11341,'26,630',$173.41,35.47,House,4,384,14,0.001234,1,0
2011,12,Wellington,363,4102,'15,645',$173.41,35.47,House,5,391,17,0.004144,1,0
2011,12,Auckland,421,11341,'26,630',$173.41,35.47,'Flat or Apartment',2,409,301,0.026541,1,0
2011,12,Auckland,421,11341,'26,630',$173.41,35.47,House,3,421,14,0.001234,1,0
2011,12,Wellington,363,4102,'15,645',$173.41,35.47,'Flat or Apartment',2,425,127,0.030961,1,0
2011,12,Otago,325,2300,'16,240',$173.41,35.47,'Flat or Apartment',4,438,22,0.009565,0,0
2011,12,Otago,325,2300,'16,240',$173.41,35.47,House,4,451,18,0.007826,0,0
2011,12,Wellington,363,4102,'15,645',$173.41,35.47,'Flat or Apartment',4,460,11,0.002682,1,0
2011,12,Wellington,363,4102,'15,645',$173.41,35.47,'Flat or Apartment',5,462,16,0.003901,1,0
2011,12,Otago,325,2300,'16,240',$173.41,35.47,'Flat or Apartment',3,473,6,0.002609,0,0
2011,12,Auckland,421,11341,'26,630',$173.41,35.47,'Flat or Apartment',4,557,19,0.001675,1,0
2011,12,Auckland,421,11341,'26,630',$173.41,35.47,'Flat or Apartment',5,558,17,0.001499,1,0
2011,12,Otago,325,2300,'16,240',$173.41,35.47,'Flat or Apartment',5,586,30,0.013043,0,0
2011,12,Otago,325,2300,'16,240',$173.41,35.47,House,5,611,40,0.017391,0,0
2011,12,Auckland,421,11341,'26,630',$173.41,35.47,'Flat or Apartment',3,642,24,0.002116,1,0
2011,12,Auckland,421,11341,'26,630',$173.41,35.47,House,5,828,19,0.001675,1,0
2012,3,Auckland,425,14316,'26,835',$175.38,35.91,'Room or Boarding House',1,81,438,0.030595,1,1
2012,3,Wellington,391,6846,'15,400',$175.38,35.91,House,1,191,11,0.001607,1,1
2012,3,Otago,297,3432,'16,165',$175.38,35.91,House,1,210,7,0.00204,0,1
2012,3,Otago,297,3432,'16,165',$175.38,35.91,'Room or Boarding House',1,231,153,0.04458,0,1
2012,3,Otago,297,3432,'16,165',$175.38,35.91,'Flat or Apartment',1,234,24,0.006993,0,1
2012,3,Wellington,391,6846,'15,400',$175.38,35.91,'Room or Boarding House',1,275,438,0.063979,1,1
2012,3,Otago,297,3432,'16,165',$175.38,35.91,'Flat or Apartment',2,293,5,0.001457,0,0
2012,3,Wellington,391,6846,'15,400',$175.38,35.91,House,2,293,24,0.003506,1,1
2012,3,Wellington,391,6846,'15,400',$175.38,35.91,'Flat or Apartment',1,302,301,0.043967,1,1
2012,3,Otago,297,3432,'16,165',$175.38,35.91,House,2,324,8,0.002331,0,0
2012,3,Auckland,425,14316,'26,835',$175.38,35.91,'Flat or Apartment',1,336,790,0.055183,1,1
2012,3,Otago,297,3432,'16,165',$175.38,35.91,'Flat or Apartment',3,382,8,0.002331,0,0
2012,3,Otago,297,3432,'16,165',$175.38,35.91,House,3,389,12,0.003497,0,0
2012,3,Wellington,391,6846,'15,400',$175.38,35.91,House,3,389,32,0.004674,1,0
2012,3,Auckland,425,14316,'26,835',$175.38,35.91,House,1,400,9,0.000629,1,0
2012,3,Wellington,391,6846,'15,400',$175.38,35.91,House,4,420,26,0.003798,1,0
2012,3,Auckland,425,14316,'26,835',$175.38,35.91,'Flat or Apartment',2,424,543,0.03793,1,0
2012,3,Wellington,391,6846,'15,400',$175.38,35.91,'Flat or Apartment',2,434,258,0.037686,1,0
2012,3,Otago,297,3432,'16,165',$175.38,35.91,'Flat or Apartment',4,457,12,0.003497,0,0
2012,3,Otago,297,3432,'16,165',$175.38,35.91,House,4,473,10,0.002914,0,0
2012,3,Auckland,425,14316,'26,835',$175.38,35.91,House,3,526,18,0.001257,1,0
2012,3,Auckland,425,14316,'26,835',$175.38,35.91,'Flat or Apartment',3,537,40,0.002794,1,0
2012,3,Auckland,425,14316,'26,835',$175.38,35.91,House,4,544,14,0.000978,1,0
2012,3,Wellington,391,6846,'15,400',$175.38,35.91,'Flat or Apartment',3,567,109,0.015922,1,0
2012,3,Wellington,391,6846,'15,400',$175.38,35.91,'Flat or Apartment',5,571,42,0.006135,1,0
2012,3,Wellington,391,6846,'15,400',$175.38,35.91,House,5,593,23,0.00336,1,0
2012,3,Otago,297,3432,'16,165',$175.38,35.91,'Flat or Apartment',5,611,29,0.00845,0,0
2012,3,Otago,297,3432,'16,165',$175.38,35.91,House,5,624,34,0.009907,0,0
2012,3,Wellington,391,6846,'15,400',$175.38,35.91,'Flat or Apartment',4,644,62,0.009056,1,0
2012,3,Auckland,425,14316,'26,835',$175.38,35.91,House,5,723,9,0.000629,1,0
2012,3,Auckland,425,14316,'26,835',$175.38,35.91,'Flat or Apartment',4,734,29,0.002026,1,0
2012,3,Auckland,425,14316,'26,835',$175.38,35.91,'Flat or Apartment',5,790,7,0.000489,1,0
2012,3,Auckland,425,14316,'26,835',$175.38,35.91,House,2,900,12,0.000838,1,0
2012,6,Wellington,372,5673,'15,400',$175.38,35.91,House,1,131,5,0.000881,1,0
2012,6,Auckland,429,14892,'26,835',$175.38,35.91,'Room or Boarding House',1,148,87,0.005842,1,1
2012,6,Otago,306,2465,'16,165',$175.38,35.91,'Flat or Apartment',1,216,8,0.003245,0,1
2012,6,Otago,306,2465,'16,165',$175.38,35.91,House,1,238,9,0.003651,0,1
2012,6,Otago,306,2465,'16,165',$175.38,35.91,'Flat or Apartment',2,248,8,0.003245,0,1
2012,6,Wellington,372,5673,'15,400',$175.38,35.91,'Room or Boarding House',1,249,87,0.015336,1,1
2012,6,Otago,306,2465,'16,165',$175.38,35.91,'Room or Boarding House',1,266,35,0.014199,0,1
2012,6,Wellington,372,5673,'15,400',$175.38,35.91,House,5,275,5,0.000881,1,0
2012,6,Wellington,372,5673,'15,400',$175.38,35.91,House,2,278,12,0.002115,1,0
2012,6,Otago,306,2465,'16,165',$175.38,35.91,House,2,292,9,0.003651,0,1
2012,6,Wellington,372,5673,'15,400',$175.38,35.91,'Flat or Apartment',1,315,196,0.03455,1,1
2012,6,Wellington,372,5673,'15,400',$175.38,35.91,House,3,336,16,0.00282,1,0
2012,6,Auckland,429,14892,'26,835',$175.38,35.91,'Flat or Apartment',1,346,578,0.038813,1,1
2012,6,Otago,306,2465,'16,165',$175.38,35.91,'Flat or Apartment',3,372,7,0.00284,0,0
2012,6,Auckland,429,14892,'26,835',$175.38,35.91,House,1,375,5,0.000336,1,0
2012,6,Otago,306,2465,'16,165',$175.38,35.91,House,3,393,10,0.004057,0,0
2012,6,Auckland,429,14892,'26,835',$175.38,35.91,House,2,413,7,0.00047,1,0
2012,6,Otago,306,2465,'16,165',$175.38,35.91,'Flat or Apartment',4,425,7,0.00284,0,0
2012,6,Wellington,372,5673,'15,400',$175.38,35.91,'Flat or Apartment',2,429,160,0.028204,1,0
2012,6,Otago,306,2465,'16,165',$175.38,35.91,House,4,433,7,0.00284,0,0
2012,6,Auckland,429,14892,'26,835',$175.38,35.91,'Flat or Apartment',2,438,402,0.026994,1,0
2012,6,Wellington,372,5673,'15,400',$175.38,35.91,House,4,448,15,0.002644,1,0
2012,6,Auckland,429,14892,'26,835',$175.38,35.91,House,3,462,16,0.001074,1,0
2012,6,Auckland,429,14892,'26,835',$175.38,35.91,House,4,481,19,0.001276,1,0
2012,6,Wellington,372,5673,'15,400',$175.38,35.91,'Flat or Apartment',4,499,47,0.008285,1,0
2012,6,Wellington,372,5673,'15,400',$175.38,35.91,'Flat or Apartment',5,501,31,0.005464,1,0
2012,6,Wellington,372,5673,'15,400',$175.38,35.91,'Flat or Apartment',3,567,56,0.009871,1,0
2012,6,Auckland,429,14892,'26,835',$175.38,35.91,'Flat or Apartment',4,600,6,0.000403,1,0
2012,6,Otago,306,2465,'16,165',$175.38,35.91,House,5,609,10,0.004057,0,0
2012,6,Otago,306,2465,'16,165',$175.38,35.91,'Flat or Apartment',5,610,15,0.006085,0,0
2012,6,Auckland,429,14892,'26,835',$175.38,35.91,'Flat or Apartment',3,635,40,0.002686,1,0
2012,6,Auckland,429,14892,'26,835',$175.38,35.91,House,5,643,5,0.000336,1,0
2012,6,Auckland,429,14892,'26,835',$175.38,35.91,'Flat or Apartment',5,670,7,0.00047,1,0
2012,9,Wellington,355,5455,'15,400',$175.38,35.91,House,1,67,6,0.0011,1,1
2012,9,Auckland,431,15697,'26,835',$175.38,35.91,'Room or Boarding House',1,152,109,0.006944,1,1
2012,9,Wellington,355,5455,'15,400',$175.38,35.91,'Room or Boarding House',1,196,109,0.019982,1,1
2012,9,Otago,333,2569,'16,165',$175.38,35.91,'Flat or Apartment',1,205,5,0.001946,0,0
2012,9,Wellington,355,5455,'15,400',$175.38,35.91,House,4,216,6,0.0011,1,0
2012,9,Otago,333,2569,'16,165',$175.38,35.91,House,1,251,22,0.008564,0,1
2012,9,Wellington,355,5455,'15,400',$175.38,35.91,House,2,284,13,0.002383,1,1
2012,9,Wellington,355,5455,'15,400',$175.38,35.91,'Flat or Apartment',1,295,209,0.038313,1,1
2012,9,Otago,333,2569,'16,165',$175.38,35.91,'Flat or Apartment',2,297,9,0.003503,0,1
2012,9,Otago,333,2569,'16,165',$175.38,35.91,'Room or Boarding House',1,312,80,0.031141,0,1
2012,9,Otago,333,2569,'16,165',$175.38,35.91,House,2,323,9,0.003503,0,0
2012,9,Wellington,355,5455,'15,400',$175.38,35.91,House,3,333,13,0.002383,1,0
2012,9,Auckland,431,15697,'26,835',$175.38,35.91,'Flat or Apartment',1,342,704,0.044849,1,1
2012,9,Auckland,431,15697,'26,835',$175.38,35.91,House,1,360,61,0.003886,1,0
2012,9,Wellington,355,5455,'15,400',$175.38,35.91,'Flat or Apartment',3,364,27,0.00495,1,0
2012,9,Otago,333,2569,'16,165',$175.38,35.91,'Flat or Apartment',3,366,11,0.004282,0,0
2012,9,Otago,333,2569,'16,165',$175.38,35.91,House,3,409,10,0.003893,0,0
2012,9,Wellington,355,5455,'15,400',$175.38,35.91,'Flat or Apartment',2,413,148,0.027131,1,0
2012,9,Wellington,355,5455,'15,400',$175.38,35.91,'Flat or Apartment',5,424,13,0.002383,1,0
2012,9,Wellington,355,5455,'15,400',$175.38,35.91,House,5,434,14,0.002566,1,0
2012,9,Auckland,431,15697,'26,835',$175.38,35.91,'Flat or Apartment',2,434,412,0.026247,1,0
2012,9,Otago,333,2569,'16,165',$175.38,35.91,'Flat or Apartment',4,440,16,0.006228,0,0
2012,9,Auckland,431,15697,'26,835',$175.38,35.91,House,2,459,8,0.00051,1,0
2012,9,Otago,333,2569,'16,165',$175.38,35.91,House,4,468,9,0.003503,0,0
2012,9,Auckland,431,15697,'26,835',$175.38,35.91,House,3,494,16,0.001019,1,0
2012,9,Wellington,355,5455,'15,400',$175.38,35.91,'Flat or Apartment',4,498,10,0.001833,1,0
2012,9,Auckland,431,15697,'26,835',$175.38,35.91,House,4,544,20,0.001274,1,0
2012,9,Auckland,431,15697,'26,835',$175.38,35.91,'Flat or Apartment',4,564,23,0.001465,1,0
2012,9,Auckland,431,15697,'26,835',$175.38,35.91,House,5,586,14,0.000892,1,0
2012,9,Otago,333,2569,'16,165',$175.38,35.91,'Flat or Apartment',5,644,16,0.006228,0,0
2012,9,Auckland,431,15697,'26,835',$175.38,35.91,'Flat or Apartment',5,657,9,0.000573,1,0
2012,9,Otago,333,2569,'16,165',$175.38,35.91,House,5,663,33,0.012845,0,0
2012,9,Auckland,431,15697,'26,835',$175.38,35.91,'Flat or Apartment',3,665,30,0.001911,1,0
2012,12,Wellington,368,4190,'15,400',$175.38,35.91,House,2,134,10,0.002387,1,1
2012,12,Auckland,437,12244,'26,835',$175.38,35.91,'Room or Boarding House',1,150,37,0.003022,1,1
2012,12,Wellington,368,4190,'15,400',$175.38,35.91,House,1,191,36,0.008592,1,1
2012,12,Wellington,368,4190,'15,400',$175.38,35.91,'Room or Boarding House',1,192,37,0.008831,1,1
2012,12,Wellington,368,4190,'15,400',$175.38,35.91,House,3,198,5,0.001193,1,1
2012,12,Wellington,368,4190,'15,400',$175.38,35.91,House,4,214,6,0.001432,1,0
2012,12,Otago,332,2337,'16,165',$175.38,35.91,'Flat or Apartment',2,221,8,0.003423,0,0
2012,12,Otago,332,2337,'16,165',$175.38,35.91,'Room or Boarding House',1,263,59,0.025246,0,1
2012,12,Otago,332,2337,'16,165',$175.38,35.91,House,1,272,32,0.013693,0,1
2012,12,Wellington,368,4190,'15,400',$175.38,35.91,'Flat or Apartment',5,275,8,0.001909,1,0
2012,12,Otago,332,2337,'16,165',$175.38,35.91,House,2,288,7,0.002995,0,1
2012,12,Wellington,368,4190,'15,400',$175.38,35.91,'Flat or Apartment',1,308,137,0.032697,1,1
2012,12,Otago,332,2337,'16,165',$175.38,35.91,House,3,312,6,0.002567,0,0
2012,12,Auckland,437,12244,'26,835',$175.38,35.91,House,1,318,99,0.008086,1,1
2012,12,Auckland,437,12244,'26,835',$175.38,35.91,'Flat or Apartment',1,341,490,0.04002,1,1
2012,12,Otago,332,2337,'16,165',$175.38,35.91,'Flat or Apartment',1,358,6,0.002567,0,0
2012,12,Wellington,368,4190,'15,400',$175.38,35.91,'Flat or Apartment',3,382,39,0.009308,1,1
2012,12,Auckland,437,12244,'26,835',$175.38,35.91,House,4,402,11,0.000898,1,0
2012,12,Auckland,437,12244,'26,835',$175.38,35.91,House,3,405,12,0.00098,1,0
2012,12,Wellington,368,4190,'15,400',$175.38,35.91,House,5,405,17,0.004057,1,0
2012,12,Otago,332,2337,'16,165',$175.38,35.91,'Flat or Apartment',3,411,9,0.003851,0,0
2012,12,Auckland,437,12244,'26,835',$175.38,35.91,'Flat or Apartment',2,418,336,0.027442,1,0
2012,12,Otago,332,2337,'16,165',$175.38,35.91,House,4,429,16,0.006846,0,0
2012,12,Auckland,437,12244,'26,835',$175.38,35.91,House,2,432,6,0.00049,1,0
2012,12,Wellington,368,4190,'15,400',$175.38,35.91,'Flat or Apartment',4,443,17,0.004057,1,0
2012,12,Wellington,368,4190,'15,400',$175.38,35.91,'Flat or Apartment',2,446,138,0.032936,1,0
2012,12,Otago,332,2337,'16,165',$175.38,35.91,'Flat or Apartment',4,453,19,0.00813,0,0
2012,12,Auckland,437,12244,'26,835',$175.38,35.91,House,5,543,19,0.001552,1,0
2012,12,Auckland,437,12244,'26,835',$175.38,35.91,'Flat or Apartment',5,579,17,0.001388,1,0
2012,12,Auckland,437,12244,'26,835',$175.38,35.91,'Flat or Apartment',3,595,27,0.002205,1,0
2012,12,Auckland,437,12244,'26,835',$175.38,35.91,'Flat or Apartment',4,605,20,0.001633,1,0
2012,12,Otago,332,2337,'16,165',$175.38,35.91,'Flat or Apartment',5,608,38,0.01626,0,0
2012,12,Otago,332,2337,'16,165',$175.38,35.91,House,5,631,30,0.012837,0,0
2013,3,Wellington,383,5902,'15,335',$173.29,35.18,House,1,92,6,0.001017,1,1
2013,3,Auckland,443,15543,'26,905',$173.29,35.18,'Room or Boarding House',1,141,170,0.010937,1,1
2013,3,Wellington,383,5902,'15,335',$173.29,35.18,'Room or Boarding House',1,202,170,0.028804,1,1
2013,3,Otago,314,2412,'16,060',$173.29,35.18,'Room or Boarding House',1,255,172,0.07131,1,1
2013,3,Wellington,383,5902,'15,335',$173.29,35.18,House,2,304,22,0.003728,1,0
2013,3,Wellington,383,5902,'15,335',$173.29,35.18,'Flat or Apartment',1,305,276,0.046764,1,1
2013,3,Otago,314,2412,'16,060',$173.29,35.18,'Flat or Apartment',2,312,15,0.006219,1,1
2013,3,Otago,314,2412,'16,060',$173.29,35.18,'Flat or Apartment',1,313,28,0.011609,1,1
2013,3,Otago,314,2412,'16,060',$173.29,35.18,House,1,320,6,0.002488,1,0
2013,3,Otago,314,2412,'16,060',$173.29,35.18,House,2,338,8,0.003317,1,0
2013,3,Auckland,443,15543,'26,905',$173.29,35.18,'Flat or Apartment',1,346,769,0.049476,1,1
2013,3,Otago,314,2412,'16,060',$173.29,35.18,House,3,359,5,0.002073,1,0
2013,3,Auckland,443,15543,'26,905',$173.29,35.18,House,2,360,5,0.000322,1,0
2013,3,Auckland,443,15543,'26,905',$173.29,35.18,House,1,361,6,0.000386,1,0
2013,3,Otago,314,2412,'16,060',$173.29,35.18,House,4,381,17,0.007048,1,0
2013,3,Wellington,383,5902,'15,335',$173.29,35.18,House,3,388,45,0.007625,1,0
2013,3,Auckland,443,15543,'26,905',$173.29,35.18,'Flat or Apartment',2,422,520,0.033456,1,0
2013,3,Wellington,383,5902,'15,335',$173.29,35.18,'Flat or Apartment',2,432,263,0.044561,1,0
2013,3,Wellington,383,5902,'15,335',$173.29,35.18,House,4,440,28,0.004744,1,0
2013,3,Otago,314,2412,'16,060',$173.29,35.18,'Flat or Apartment',4,467,20,0.008292,1,0
2013,3,Otago,314,2412,'16,060',$173.29,35.18,'Flat or Apartment',3,476,12,0.004975,1,0
2013,3,Auckland,443,15543,'26,905',$173.29,35.18,House,4,501,15,0.000965,1,0
2013,3,Auckland,443,15543,'26,905',$173.29,35.18,House,3,507,15,0.000965,1,0
2013,3,Wellington,383,5902,'15,335',$173.29,35.18,'Flat or Apartment',5,540,35,0.00593,1,0
2013,3,Wellington,383,5902,'15,335',$173.29,35.18,'Flat or Apartment',3,563,135,0.022874,1,0
2013,3,Wellington,383,5902,'15,335',$173.29,35.18,House,5,593,17,0.00288,1,0
2013,3,Auckland,443,15543,'26,905',$173.29,35.18,'Flat or Apartment',4,595,32,0.002059,1,0
2013,3,Auckland,443,15543,'26,905',$173.29,35.18,'Flat or Apartment',3,595,37,0.00238,1,0
2013,3,Otago,314,2412,'16,060',$173.29,35.18,'Flat or Apartment',5,617,36,0.014925,1,0
2013,3,Auckland,443,15543,'26,905',$173.29,35.18,'Flat or Apartment',5,644,14,0.000901,1,0
2013,3,Auckland,443,15543,'26,905',$173.29,35.18,House,5,652,6,0.000386,1,0
2013,3,Otago,314,2412,'16,060',$173.29,35.18,House,5,652,41,0.016998,1,0
2013,3,Wellington,383,5902,'15,335',$173.29,35.18,'Flat or Apartment',4,723,46,0.007794,1,0
2013,6,Auckland,445,14211,'26,905',$173.29,35.18,'Room or Boarding House',1,161,89,0.006263,1,1
2013,6,Otago,323,2095,'16,060',$173.29,35.18,House,1,169,6,0.002864,0,0
2013,6,Wellington,368,4514,'15,335',$173.29,35.18,House,1,178,9,0.001994,1,1
2013,6,Wellington,368,4514,'15,335',$173.29,35.18,'Room or Boarding House',1,203,89,0.019716,1,1
2013,6,Wellington,368,4514,'15,335',$173.29,35.18,House,4,232,10,0.002215,1,1
2013,6,Otago,323,2095,'16,060',$173.29,35.18,'Flat or Apartment',1,245,11,0.005251,0,1
2013,6,Otago,323,2095,'16,060',$173.29,35.18,'Room or Boarding House',1,298,60,0.02864,0,1
2013,6,Wellington,368,4514,'15,335',$173.29,35.18,House,2,300,17,0.003766,1,0
2013,6,Wellington,368,4514,'15,335',$173.29,35.18,'Flat or Apartment',1,311,197,0.043642,1,1
2013,6,Otago,323,2095,'16,060',$173.29,35.18,House,2,314,9,0.004296,0,0
2013,6,Otago,323,2095,'16,060',$173.29,35.18,'Flat or Apartment',2,316,36,0.017184,0,1
2013,6,Auckland,445,14211,'26,905',$173.29,35.18,House,1,335,5,0.000352,1,0
2013,6,Auckland,445,14211,'26,905',$173.29,35.18,'Flat or Apartment',1,351,678,0.04771,1,1
2013,6,Wellington,368,4514,'15,335',$173.29,35.18,House,3,378,20,0.004431,1,0
2013,6,Wellington,368,4514,'15,335',$173.29,35.18,'Flat or Apartment',3,382,58,0.012849,1,1
2013,6,Auckland,445,14211,'26,905',$173.29,35.18,House,2,388,5,0.000352,1,0
2013,6,Otago,323,2095,'16,060',$173.29,35.18,'Flat or Apartment',3,409,5,0.002387,0,0
2013,6,Otago,323,2095,'16,060',$173.29,35.18,House,3,411,10,0.004773,0,0
2013,6,Wellington,368,4514,'15,335',$173.29,35.18,'Flat or Apartment',2,439,184,0.040762,1,0
2013,6,Auckland,445,14211,'26,905',$173.29,35.18,'Flat or Apartment',2,445,143,0.010063,1,0
2013,6,Otago,323,2095,'16,060',$173.29,35.18,House,4,453,6,0.002864,0,0
2013,6,Wellington,368,4514,'15,335',$173.29,35.18,'Flat or Apartment',4,462,37,0.008197,1,0
2013,6,Otago,323,2095,'16,060',$173.29,35.18,'Flat or Apartment',4,467,6,0.002864,0,0
2013,6,Auckland,445,14211,'26,905',$173.29,35.18,House,3,474,16,0.001126,1,0
2013,6,Auckland,445,14211,'26,905',$173.29,35.18,House,4,476,19,0.001337,1,0
2013,6,Wellington,368,4514,'15,335',$173.29,35.18,'Flat or Apartment',5,541,26,0.00576,1,0
2013,6,Auckland,445,14211,'26,905',$173.29,35.18,House,5,562,5,0.000352,1,0
2013,6,Wellington,368,4514,'15,335',$173.29,35.18,House,5,584,13,0.00288,1,0
2013,6,Auckland,445,14211,'26,905',$173.29,35.18,'Flat or Apartment',5,600,6,0.000422,1,0
2013,6,Auckland,445,14211,'26,905',$173.29,35.18,'Flat or Apartment',4,600,21,0.001478,1,0
2013,6,Auckland,445,14211,'26,905',$173.29,35.18,'Flat or Apartment',3,605,42,0.002955,1,0
2013,6,Otago,323,2095,'16,060',$173.29,35.18,'Flat or Apartment',5,625,12,0.005728,0,0
2013,6,Otago,323,2095,'16,060',$173.29,35.18,House,5,626,9,0.004296,0,0
2013,9,Wellington,370,4770,'15,335',$173.29,35.18,House,2,148,6,0.001258,0,1
2013,9,Auckland,449,14837,'26,905',$173.29,35.18,'Room or Boarding House',1,157,71,0.004785,1,1
2013,9,Wellington,370,4770,'15,335',$173.29,35.18,House,3,186,18,0.003774,0,1
2013,9,Wellington,370,4770,'15,335',$173.29,35.18,'Room or Boarding House',1,192,71,0.014885,0,1
2013,9,Otago,354,2680,'16,060',$173.29,35.18,'Room or Boarding House',1,196,78,0.029104,0,1
2013,9,Wellington,370,4770,'15,335',$173.29,35.18,House,1,206,30,0.006289,0,1
2013,9,Otago,354,2680,'16,060',$173.29,35.18,House,1,245,20,0.007463,0,1
2013,9,Wellington,370,4770,'15,335',$173.29,35.18,House,4,300,11,0.002306,0,0
2013,9,Otago,354,2680,'16,060',$173.29,35.18,House,2,301,8,0.002985,0,1
2013,9,Otago,354,2680,'16,060',$173.29,35.18,'Flat or Apartment',2,302,8,0.002985,0,1
